306 50
0 24 2601
1 32 7695
2 34 3885
3 5 7566
4 2 5827
5 35 3548
6 27 4344
7 45 6121
8 42 716
9 36 2283
10 13 2265
11 45 3667
12 38 8420
13 36 2559
14 26 1025
15 5 3217
16 8 8139
17 0 9408
18 24 2308
19 12 477
20 33 7482
21 49 9817
22 27 2972
23 20 6165
24 46 1819
25 36 6251
26 16 1988
27 44 2427
28 42 8364
29 12 9351
30 29 9965
31 4 8435
32 19 1585
33 23 6888
34 3 7052
35 13 536
36 45 2078
37 23 1255
38 24 649
39 24 952
40 43 177
41 30 4469
42 35 8738
43 10 7363
44 41 246
45 23 7701
46 6 8550
47 25 6416
48 9 1408
49 30 1695
5 19 1387
21 6 5575
2 22 2422
48 34 8711
47 0 8530
27 15 4304
23 35 5112
1 19 3879
15 39 2142
38 23 6278
35 23 174
1 25 4108
22 46 7864
1 26 9486
22 45 259
23 30 7545
12 21 7739
0 8 1951
45 35 342
24 44 4512
16 46 7819
49 42 7298
30 36 4018
5 14 5659
38 13 4971
10 30 8102
18 5 6666
19 27 1189
48 3 2600
11 45 5793
31 21 5806
34 15 341
20 49 4737
24 49 505
18 35 6908
33 8 8824
49 7 5273
20 10 9764
20 33 2803
35 11 7299
21 26 3807
33 40 3169
20 30 6799
24 9 4279
23 6 9565
14 36 2166
17 22 6193
39 8 134
15 30 848
25 21 1004
16 46 1582
16 34 5206
19 21 8070
9 31 2424
22 47 171
46 7 6307
4 31 1870
17 21 1867
25 17 1863
29 39 8282
23 31 8171
24 27 7757
45 37 8040
24 33 1043
47 49 2778
17 41 3782
4 29 569
9 22 4943
19 9 1830
46 0 749
44 27 6644
8 35 9795
9 6 8553
0 45 1781
17 37 9772
33 6 6115
22 18 6933
21 36 1636
36 27 2350
34 46 339
15 34 5683
11 29 102
6 44 7528
18 33 8907
3 20 6347
36 42 1922
36 31 3049
7 9 3433
18 7 5076
1 23 9372
3 19 5659
22 13 155
36 35 9150
32 31 4235
39 28 1261
44 36 9261
22 0 7149
36 2 4220
19 16 7557
20 8 3456
42 21 648
3 26 6903
10 8 485
25 18 125
22 12 8466
7 30 4816
0 24 1389
28 17 9833
6 39 3496
37 42 4321
4 8 337
29 31 5080
6 12 2252
4 37 4822
18 33 556
35 46 4647
44 14 4209
24 13 4633
28 45 9396
32 33 1445
37 22 2151
44 37 3440
6 29 7854
36 22 306
3 26 5240
19 10 5524
9 21 6389
20 1 9771
11 29 307
5 2 3700
41 37 2439
1 12 293
27 2 3080
5 48 713
40 15 9536
37 31 2473
26 47 2708
48 6 1627
17 14 7258
25 34 1135
3 22 9599
46 31 3316
47 26 8692
23 31 1453
46 8 8228
6 31 1651
5 8 4657
39 19 2482
18 43 8336
43 12 4997
22 45 116
30 24 3231
1 27 2158
34 40 1648
4 41 9866
21 42 9414
18 1 5729
44 49 6448
16 6 6808
11 40 1990
5 1 3443
40 7 1621
36 23 7558
25 45 2405
13 33 1133
10 41 3036
29 44 5931
45 9 6745
23 11 5305
36 41 4947
5 16 6577
49 14 1237
21 41 4797
8 14 3349
44 9 7369
38 45 730
49 4 5411
21 49 4473
4 32 3596
35 10 3193
22 11 3621
18 49 1715
36 8 1910
49 15 9254
35 44 534
40 15 5706
35 8 3633
37 49 5735
44 6 4959
48 9 522
11 26 4689
22 46 5421
3 45 1407
46 5 8098
7 9 1060
32 48 655
49 13 3822
10 6 9683
35 33 9620
47 0 8305
5 3 3739
25 27 5283
10 14 9459
26 9 7355
25 7 4638
10 0 9749
49 29 3448
19 47 4911
1 48 8583
3 49 929
31 29 5318
14 23 2171
23 38 9530
2 34 6770
45 11 5197
41 26 1529
10 5 5346
25 21 7881
30 27 20
31 25 8194
45 27 5567
43 41 3390
39 20 2414
30 18 6402
17 41 8788
18 41 1054
40 39 8774
26 49 8359
18 6 8036
1 40 3940
32 36 473
23 6 28
37 30 4057
11 8 6135
33 31 9112
0 24 6903
6 13 7382
42 14 3360
17 48 2488
23 49 6137
11 9 6371
26 4 9524
38 14 3474
46 2 6841
9 21 7584
47 6 658
48 17 8150
29 33 3141
31 28 2774
45 36 3815
25 39 9657
10 13 8409
22 10 4989
33 43 2170
1 25 2672
16 25 992
